Group,Best Category
Lanarkshire_Orchestral_Society,British_instrumental
Lancraft_Fife_and_Drum_Corps,American_instrumental
Langham_Research_Centre,Electronic
Lara_&_Reyes,Latin
Larkin_Poe,American_blues_rock
Las_Cafeteras,Latin
Latin_music_(genre),Latin
Laughing_Hyenas,American_blues_rock
Le_Galaxie,Electronic
Le_Vent_du_Nord,Canadian_Celtic
Leahy,Canadian_Celtic
Left_Lane_Cruiser,Punk_blues
Legendary_Shack_Shakers,American_blues_rock
Lemon_Jelly,British_instrumental
Lendi_Vexer,Trip_hop
Leon_and_the_Forklifts,American_blues
Les_Charbonniers_de_l'enfer,cappella
Liberation_Movement_(music_group),Trip_hop
Lick_the_Tins,Celtic
Lightnin'_Willie_&_the_Poorboys,American_blues
Lions_Gate_Chorus,cappella
Liquid_Tension_Experiment,American_instrumental
Lisp_(band),Trip_hop
List_of_alumni_of_collegiate_a_cappella_groups,cappella
List_of_doo-wop_musicians,Doo-wop
List_of_venues_for_All-Ireland_Fleadh_Cheoil_na_hÉireann,Celtic
Little_Charlie_&_the_Nightcats,American_blues
Little_Dragon,Trip_hop
Little_Feat,American_blues_rock
Little_Mike_and_the_Tornadoes,American_blues
Locos_Por_Juana,Latin
Loituma,cappella
London_Grammar,American_instrumental
Lone_Raven,Celtic
Los_Cenzontles,American_blues_rock
Los_Ciegos_Del_Barrio,Latin
Los_Koyas,Latin
Los_Machucambos,Latin
Los_Madrugadores,Latin
Los_Rabanes,Latin
Los_Traidores_(band),American_blues_rock
Louisville_Thoroughbreds,cappella
Lovage_(band),Trip_hop
Love_Hunters,American_blues_rock
Low-Country_Messiahs,American_blues
Low_Pros,Electronic
Luar_na_Lubre,Celtic
Lucid_Druid,Celtic
Lunascape_(band),Trip_hop
Lynyrd_Skynyrd,American_blues_rock
Mànran,Celtic
MC5,American_blues_rock
MadHatters,cappella
Mad_Dog_Mcrea,Celtic
Mad_Season_(band),American_blues_rock
Madreblu,Trip_hop
Majeure,American_blues_rock
Malachai_(band),Trip_hop
Mambrú,Latin
Manau_(group),Celtic
Mandalay_(band),Trip_hop
Mandarins_Drum_and_Bugle_Corps,Latin
Manzarek–Krieger,American_blues_rock
Marcsmen,cappella
Marooned_(band),Celtic
Massive_Attack,Trip_hop
Massive_Violins,British_instrumental
Masters_of_Harmony,cappella
Mattatuck_Drum_Band,American_instrumental
Maulbronn_Chamber_Choir,cappella
Maybebop,cappella
Meat_Beat_Manifesto,Trip_hop
MegaCity_Chorus,Canadian_Celtic
Melodeers_Chorus,cappella
Menno_Singers,cappella
Menudo_(band),Latin
Metro_Nashville_Chorus,cappella
Metro_Vocal_Group,cappella
Metropolitan_Male_Quartet,cappella
Michael_Hill's_Blues_Mob,American_blues
Middlesex_County_4-H_Fife_and_Drum_Corps,American_instrumental
Middlesex_County_Volunteers,American_instrumental
Milladoiro,Celtic
Milwaukee_Mandolin_Orchestra,American_instrumental
Minibosses,American_blues_rock
Mint_Royale,Trip_hop
Mise_(band),Celtic
